School Name,School Name,Building Address,Postcode,Borough,Latitude,Longitude
CHELSEA VOC HS - MANHATTAN,CHELSEA VOC HS - MANHATTAN,131 AVE OF THE AMERICAS,10013.0,Manhattan,40.7244,-74.004625
FREDERICK DOUGLASS ACADEMY VI,FREDERICK DOUGLASS ACADEMY VI,8-21 BAY 25 STREET,11691.0,Queens,40.60201,-73.762795
P.S. 136 - QUEENS,P.S. 136 - QUEENS,201-15 115 AVENUE,10458.0,Queens,40.698279,-73.752654
DISTRICT 2 PRE-K CENTER,DISTRICT 2 PRE-K CENTER,355 EAST 76 STREET,10301.0,Manhattan,40.770756,-73.954958
THE HIGH SCHOOL FOR CLIMATE JUSTICE,THE HIGH SCHOOL FOR CLIMATE JUSTICE,320 EAST 96 STREET,11204.0,Manhattan,40.783625,-73.945637
P.S. 71 - BRONX,P.S. 71 - BRONX,3040 ROBERTS AVENUE,11204.0,Bronx,40.845787,-73.829829
P.S. 38 - MANHATTAN,P.S. 38 - MANHATTAN,232 EAST 103 STREET,11204.0,Manhattan,40.788952,-73.944538
RALPH R. MCKEE CAREER AND TECH,RALPH R. MCKEE CAREER AND TECH,290 ST MARKS PLACE,10301.0,StatenIsland,40.642793,-74.07873
I.S. 448 - BROOKLYN,I.S. 448 - BROOKLYN,610 HENRY STREET,11236.0,Brooklyn,40.68007,-74.001377
CURTIS HIGH SCHOOL ANNEX - STA,CURTIS HIGH SCHOOL ANNEX - STA,105B HAMILTON AVENUE,10301.0,StatenIsland,40.644735,-74.081222
DISTRICT 20 PRE-K CENTER,DISTRICT 20 PRE-K CENTER,1668 46 STREET,10301.0,Brooklyn,40.631768,-73.98221
3K CENTER @ 2020 WHITE PLAINS ROAD - BRONX,3K CENTER @ 2020 WHITE PLAINS ROAD - BRONX,2020 WHITE PLAINS ROAD,10462.0,Bronx,40.850673,-73.867799
P.S. 722 (OTC) - STATEN ISLAND,P.S. 722 (OTC) - STATEN ISLAND,155 TOMPKINS AVENUE,10304.0,StatenIsland,40.620534,-74.077266
P.S. 173 - MANHATTAN,P.S. 173 - MANHATTAN,306 FORT WASHINGTON AVENUE,11204.0,Manhattan,40.845469,-73.940468
P.S. 94 - BRONX,P.S. 94 - BRONX,268 EAST 211 STREET,11204.0,Bronx,40.881564,-73.8748
P.S. 5 - BROOKLYN,P.S. 5 - BROOKLYN,820 HANCOCK STREET,11204.0,Brooklyn,40.685687,-73.922532
P.S. 330 - QUEENS,P.S. 330 - QUEENS,110-08 NORTHERN BOULEVARD,11368.0,Queens,40.75788,-73.859201
P.S. 122 - QUEENS,P.S. 122 - QUEENS,21-21 DITMARS BOULEVARD,11204.0,Queens,40.780347,-73.916655
P.S. 131 - QUEENS,P.S. 131 - QUEENS,170-21 84TH AVENUE,11432.0,Queens,40.716609,-73.794666
THE HARBOR VIEW SCHOOL - R,THE HARBOR VIEW SCHOOL - R,300 RICHMOND TERRACE,11236.0,StatenIsland,40.64789,-74.083406
P.S. 196 - BRONX,P.S. 196 - BRONX,1250 WARD AVENUE,11204.0,Bronx,40.830499,-73.877704
P.S. 124 - QUEENS,P.S. 124 - QUEENS,129-15 150 AVENUE,11204.0,Queens,40.665058,-73.811701
P.S. 123 - QUEENS,P.S. 123 - QUEENS,145-01 119 AVENUE,11204.0,Queens,40.678296,-73.79562
THE WALTON AVENUE SCHOOL,THE WALTON AVENUE SCHOOL,1425 WALTON AVENUE,11204.0,Bronx,40.840096,-73.915569
P.S. 206 - QUEENS,P.S. 206 - QUEENS,61-01 97TH PLACE,11374.0,Queens,40.734272,-73.861556
K396 SPED - BROOKLYN,K396 SPED - BROOKLYN,111 BRISTOL STREET,11204.0,Brooklyn,40.668475,-73.912351
I.S. 5 - QUEENS,I.S. 5 - QUEENS,50-40 JACOBUS STREET,11204.0,Queens,40.737718,-73.887429
QUEENS TECH HS - Q,QUEENS TECH HS - Q,37-02 47 AVENUE,11204.0,Queens,40.742205,-73.928219
H.S. @ 165-15 88 AVENUE - QUEENS,H.S. @ 165-15 88 AVENUE - QUEENS,165-15 88 AVENUE,11432.0,Queens,40.708691,-73.796674
P.S. 35 - STATEN ISLAND,P.S. 35 - STATEN ISLAND,60 FOOTE AVENUE,11204.0,StatenIsland,40.613721,-74.099626
FRANKLIN D. ROOSEVELT HS - K,FRANKLIN D. ROOSEVELT HS - K,5800 20 AVENUE,11236.0,Brooklyn,40.620446,-73.981795
ALC - BROOKLYN CHOICES,ALC - BROOKLYN CHOICES,271 MELROSE STREET,11204.0,Brooklyn,40.702083,-73.929647
MONROE ACAD FOR VISUAL ARTS - X,MONROE ACAD FOR VISUAL ARTS - X,1300 BOYNTON AVENUE,11204.0,Bronx,40.831601,-73.878912
P.S. 120 - QUEENS,P.S. 120 - QUEENS,58-01 136 STREET,11204.0,Queens,40.745526,-73.829309
SCHOOL OF DIPLOMACY,SCHOOL OF DIPLOMACY,3710 BARNES AVENUE,11204.0,Bronx,40.880873,-73.860904
X352 SPED - BRONX,X352 SPED - BRONX,984 FAILE STREET,11204.0,Bronx,40.822719,-73.889435
P.S. 109 - BRONX,P.S. 109 - BRONX,1771 POPHAM AVENUE,11204.0,Bronx,40.851414,-73.918533
P.S. 251 - BROOKLYN,P.S. 251 - BROOKLYN,1037 EAST 54 STREET,11204.0,Brooklyn,40.632524,-73.924417
P.S. 179 - BRONX,P.S. 179 - BRONX,468 EAST 140 STREET,10454.0,Bronx,40.809534,-73.919903
K811 SPED - BROOKLYN,K811 SPED - BROOKLYN,2525 HARING STREET,11204.0,Brooklyn,40.591109,-73.9391
I.S. 556 - BRONX,I.S. 556 - BRONX,2441 WALLACE AVENUE,11204.0,Bronx,40.862109,-73.864577
I.S. 136 - BROOKLYN,I.S. 136 - BROOKLYN,4004 4TH AVENUE,10458.0,Brooklyn,40.651977,-74.006862
P.S. 82 - STATEN ISLAND,P.S. 82 - STATEN ISLAND,104 GORDON STREET,10304.0,StatenIsland,40.624263,-74.082667
P.S. 289 - BROOKLYN,P.S. 289 - BROOKLYN,900 ST MARKS AVENUE,10301.0,Brooklyn,40.674794,-73.942639
I.S. 239 - BROOKLYN,I.S. 239 - BROOKLYN,2401 NEPTUNE AVENUE,11236.0,Brooklyn,40.578188,-73.99203
P.S. 38 - BROOKLYN,P.S. 38 - BROOKLYN,450 PACIFIC STREET,10458.0,Brooklyn,40.685264,-73.982639
RICHMOND HILL HS - QUEENS,RICHMOND HILL HS - QUEENS,89-30 114 STREET,11204.0,Queens,40.695888,-73.833681
LIFE SCIENCE SECONDARY SCHOOL,LIFE SCIENCE SECONDARY SCHOOL,320 EAST 96 STREET,10128.0,Manhattan,40.783625,-73.945637
P.S. 124 - MANHATTAN,P.S. 124 - MANHATTAN,40 DIVISION STREET,11204.0,Manhattan,40.714182,-73.995451
P.S. 50 - MANHATTAN,P.S. 50 - MANHATTAN,433 EAST 100 STREET,10029.0,Manhattan,40.785258,-73.941526
