Project ID,Project Name,Street,Borough,BBL,BIN,Latitude,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
50416,Logan Plaza,AMSTERDAM AVENUE,Manhattan,1019700002.0,1075479.0,40.815832,Preservation,Yes,Non Prevailing Wage,0,0,26,0,103,1,0,75,49,6,0,0,0,130,0,130,130
50417,Gateway 1,WEST 112 STREET,Manhattan,1018220029.0,1084006.0,40.799552,Preservation,Yes,Non Prevailing Wage,38,15,5,0,0,1,0,14,34,11,0,0,0,58,1,59,59
50418,Audubon,ADAM C POWELL BOULEVARD,Manhattan,1019210001.0,1058309.0,40.816066,Preservation,Yes,Non Prevailing Wage,67,15,5,0,0,1,12,30,32,14,0,0,0,88,0,88,88
50419,Site A/Washington Heights,AMSTERDAM AVENUE,Manhattan,1021190036.0,1062836.0,40.835269,Preservation,Yes,Non Prevailing Wage,88,15,6,0,0,1,0,23,76,11,0,0,0,110,0,110,110
50421,MSHOUSES,EAST 129 STREET,Manhattan,1017780006.0,1054510.0,40.807082,Preservation,Yes,Non Prevailing Wage,97,26,7,0,0,1,0,51,61,0,19,0,0,131,0,131,131
50424,SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,102 STREET,Queens,4016960009.0,4041955.0,40.758973,Preservation,No,Non Prevailing Wage,0,0,10,9,0,0,0,0,4,14,1,0,0,0,19,19,19
50467,210 East 39th Street,EAST 39 STREET,Manhattan,1009197501.0,1090104.0,40.748686,New Construction,No,Non Prevailing Wage,0,0,11,0,0,0,1,7,3,0,0,0,0,11,0,11,55
50473,The Bedford,WEBSTER AVENUE,Bronx,2033577501.0,2128546.0,40.872332,New Construction,No,Non Prevailing Wage,0,0,12,0,0,0,0,6,6,0,0,0,0,12,0,12,60
50495,Calvary.112-02 Guy Brewer Boulevard,112 ROAD,Queens,4121830035.0,4607744.0,40.689767,New Construction,No,Non Prevailing Wage,8,0,44,0,0,1,0,33,20,0,0,0,0,53,0,53,53
50497,655 Morris Avenue,MORRIS AVENUE,Bronx,2024410001.0,2002441.0,40.819177,New Construction,No,Non Prevailing Wage,0,0,153,22,0,1,9,77,82,8,0,0,0,176,0,176,176
50509,2605 Grand Concourse,GRAND CONCOURSE,Bronx,2031687501.0,2127056.0,40.864727,New Construction,No,Non Prevailing Wage,0,0,24,69,0,1,6,42,40,6,0,0,0,94,0,94,94
50519,Randolph Houses Phase II,WEST 114 STREET,Manhattan,1018300011.0,1055196.0,40.802754,Preservation,No,Non Prevailing Wage,8,4,102,0,0,1,12,65,26,12,0,0,0,115,0,115,115
50580,180 Saint Nicholas Avenue HDFC,ST NICHOLAS AVENUE,Manhattan,1019250013.0,1058445.0,40.805904,Preservation,No,Non Prevailing Wage,0,0,21,0,0,0,0,0,0,21,0,0,0,0,21,21,21
50583,SECOND ATLANTIC TERMINAL HOUSING CORPORATION,CARLTON AVENUE,Brooklyn,3020070014.0,3321981.0,40.683478,Preservation,No,Non Prevailing Wage,0,0,305,0,0,0,0,0,305,0,0,0,0,0,305,305,305
50609,1095 Bushwick Ave HDFC,BUSHWICK AVENUE,Brooklyn,3033490001.0,3076547.0,40.690172,Preservation,No,Non Prevailing Wage,0,7,6,1,0,1,0,9,4,0,2,0,0,5,10,15,15
50638,Doe.1345 Rogers Ave,ROGERS AVENUE,Brooklyn,3052290017.0,3328301.0,40.636944,New Construction,No,Prevailing Wage,115,0,7,0,0,1,70,22,23,8,0,0,0,123,0,123,123
50639,874 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,Brooklyn,3015930023.0,3423327.0,40.695665,New Construction,No,Non Prevailing Wage,0,0,19,0,9,0,0,18,10,0,0,0,0,28,0,28,93
50655,695 GRAND STREET,GRAND STREET,Brooklyn,3027827502.0,3426380.0,40.711566,New Construction,No,Non Prevailing Wage,16,13,12,9,0,1,9,15,19,8,0,0,0,51,0,51,51
50682,74 W 105th Street,WEST 105 STREET,Manhattan,1018400060.0,1055508.0,40.798269,Preservation,Yes,Non Prevailing Wage,0,0,0,10,0,0,0,9,1,0,0,0,0,10,0,10,10
50702,223 North 8th Street,NORTH 9 STREET,Brooklyn,3023130013.0,3425126.0,40.717579,New Construction,No,Non Prevailing Wage,0,0,19,0,0,0,6,10,3,0,0,0,0,19,0,19,94
50815,BUCKINGHAM - 2044 RICHMOND TERR - RESILIENCY,RICHMOND TERRACE,StatenIsland,5010030014.0,5023696.0,40.640368,Preservation,No,Prevailing Wage,36,0,0,0,0,0,36,0,0,0,0,0,0,36,0,36,36
50842,Lands End II - Two Bridges A/k/a Cherry St.,CHERRY STREET,Manhattan,1002470001.0,1077589.0,40.711302,Preservation,Yes,Non Prevailing Wage,373,61,41,11,4,0,130,250,110,0,0,0,0,486,4,490,490
50871,181 Front Street,FRONT STREET,Brooklyn,3000410042.0,3413894.0,40.702406,New Construction,No,Non Prevailing Wage,0,0,21,0,0,0,0,9,11,1,0,0,0,21,0,21,105
50875,68 Charlton,CHARLTON STREET,Manhattan,1005800011.0,1090545.0,40.727235,New Construction,No,Non Prevailing Wage,0,0,29,0,0,0,7,2,20,0,0,0,0,29,0,29,122
